title,text,author,source_domain
"Campuchia chuyển hướng thương mại sông Mekong qua kênh đào do Trung Quốc xây dựng, gây khó chịu cho Việt Nam","Tranh cãi về kênh đào [Phù Nam – Funal Techo] cũng phản ánh những căng thẳng địa chính trị sâu sắc hơn khi Campuchia cố gắng thoát khỏi sự phụ thuộc vào các tuyến thương mại do Việt Nam kiểm soát, làm suy yếu đòn bẩy khu vực của Hà Nội đồng thời nâng cấp khả năng ảnh hưởng của Bắc Kinh ở khu vực phía Nam sông Mekong.",Trung Điền,viettan.org
Những mối nguy hiểm tiềm ẩn trong con số GDP của Trung Quốc,"Amit Kumar, nhà phân tích và nghiên cứu của Chương trình Nghiên cứu Ấn Độ Dương-Thái Bình Dương của Viện Takshashila đã có phân tích về tình hình kinh tế Trung Quốc đăng trên tạp chí Foreign Policy, số ra ngày 11 tháng 3, 2024. Tác giả cho rằng tình trạng giảm phát và thiếu tiêu dùng đang là những vấn đề lớn đối với Bắc Kinh hiện nay.",Trung Điền,viettan.org
Một tài liệu mật chứng minh Việt Nam đang dối gạt các đối tác của họ,"Chỉ thị mới cho thấy các nhà lãnh đạo Việt Nam nhất quyết duy trì sự kiểm soát, đàn áp. Và họ lo ngại rằng những ảnh hưởng của nước ngoài có thể làm suy yếu chế độ độc tài.Sự hiện hữu của Chỉ thị 24 xoá tan hy vọng rằng các hiệp định thương mại quốc tế sẽ khiến Việt Nam nới lỏng sự kìm kẹp trong nước.",Xuân Lê,viettan.org
Tại sao chiến dịch chống tham nhũng của Việt Nam có thể phản tác dụng?,"Tăng trưởng kinh tế bền vững quả thực đã củng cố sự ủng hộ và niềm tin của công chúng vào sự cai trị của đảng Cộng Sản Việt Nam. Tuy nhiên, tham nhũng, tuy không phải là mới đối với hệ thống độc đảng của Việt Nam, nhưng lại là mối đe dọa đáng kể đối với ĐCSVN hiện nay. Điều này là do tình trạng tham nhũng tràn lan có thể dẫn đến sự yếu kém trong nền kinh tế, gây áp lực lên tính hợp pháp dựa trên hiệu quả hoạt động của đảng.",Trung Điền,viettan.org
Biển Đông 2024: “Vạc dầu Châu Á” sôi trào,"Hãy nhớ lại câu nói mà Tập nhắn nhủ với “người bạn thân thiết” Putin vào tháng 3/2023 “Hiện nay, có những thay đổi chưa từng xảy ra trong 100 năm. Khi chúng ta sát cánh bên nhau, chúng ta sẽ thúc đẩy những thay đổi này.”Đúng như Tập Cận Bình nhận định, đây đang là một thời điểm vàng cho ông ta và Putin theo đuổi những giấc mộng điên rồ nhất. Trong tình huống này, cả Đài Loan và Bãi Tư Chính của Việt Nam đều là những mục tiêu trong tầm ngắm, cân nhắc của Trung Nam Hải.",Tùng Phong,viettan.org
Sự trỗi dậy và sụp đổ của các cường quốc,"Paul Kennedy/ The New Statesman - Trung Điền lược dịch 04/03/2024 Vào tháng 1 năm 1988, tác giả Paul Kennedy chính thức xuất bản sách “The Rise and Fall of the Great Powers” (Sự Trỗi Dậy và Sự Sụp Đổ của các Cường Quốc). Vào lúc đó, tác giả đã tiên đoán về sự sụp đổ của Liên Xô và sự trỗi dậy của Trung Quốc. 35 năm sau (1988-2023), tác giả đã viết đoản văn này để đưa ra một số dự đoán về trật tự thế giới sắp đến.",Trung Điền,viettan.org
Liệu “sấm” Trạng Trình có đúng?,"Trong những ngày đầu xuân Giáp Thìn 2024, trên nhiều trang mạng xã hội, các hội nhóm có người đã trích dẫn đoạn thơ được cho là một câu sấm của Trạng Trình và bày tỏ lo ngại về biến chuyển thời cuộc, liên hệ về khoảng thời gian ứng nghiệm của câu thơ, cũng như những diễn biến địa chính trị trên thế giới và khu vực càng khiến đề tài thêm thú vị, nhận được quan tâm của dư luận. “Long vĩ xà đầu khởi chiến tranh Can qua xứ xứ khổ đao binh Mã đề dương cước anh hùng tận Thân, Dậu niên lai kiến thái bình.”",Tùng Phong,viettan.org
Bí quyết kiểm soát Internet của Trung Quốc,"Khi Internet lần đầu tiên có thể truy cập được trên toàn thế giới, những người lạc quan hy vọng rằng nó sẽ có thể phá vỡ khả năng kiểm soát thông tin của các chế độ độc tài. Người ta cho rằng các chế độ độc tài sẽ bất lực trong việc chống lại cuộc cách mạng thông tin được tạo ra bởi bản chất phi tập trung của Internet. Tuy nhiên, các nhà lãnh đạo Trung Quốc không nghĩ như vậy.",Trung Điền,viettan.org
Navalny đã thay đổi nước Nga như thế nào,"Đối với xã hội Nga đang bối rối, chán nản và thường xuyên bị bao vây bởi một chế độ ngày càng đàn áp, Navalny là nhân vật đoàn kết đơn độc. Mặc dù chính quyền Nga đã cách ly ông trong nhiều lớp biệt giam hơn bao giờ hết kể từ khi ông bị bắt khi trở về Nga vào năm 2021, nhưng ông vẫn tiếp tục giữ được tầm dũng cảm đó cho đến thời điểm qua đời. Cái chết của Navalny đánh dấu một bước đi mới đen tối trong quá trình theo đuổi quyền lực một cách tàn nhẫn của Putin. Nhưng nó cũng đặt ra một thách thức rõ ràng đối với phe đối lập ở Nga, vốn hiện phải tìm cách duy trì sự đoàn kết mà Navalny đã tạo ra và nắm bắt phong trào mà ông đã để lại.",Phạm Nhật Bình,viettan.org
Một số nỗ lực tiêu biểu của Đảng Việt Tân năm 2023,"Trong năm 2023 vừa qua, toàn thể đảng viên Việt Tân đã cố gắng đẩy mạnh các sinh hoạt nội bộ cũng như thực hiện các nỗ lực vận động người dân và quốc tế lên án CSVN về tình hình đàn áp nhân quyền và đặc biệt là phát động chiến dịch 50 Năm Hoàng Sa để vận động dư luận không quên Hoàng Sa và Trường Sa đang bị Trung Quốc chiếm đóng một cách phi pháp. Với rất nhiều nỗ lực âm thầm hay công khai thực hiện, anh chị em Việt Tân muốn chia sẻ đến quý vị ba công tác đã được thực hiện…",Ban biên tập,viettan.org
Nhớ TS Phạm Chí Dũng,"Bộ Công an, một lực lượng kiêu binh có thể tạo dựng chứng cớ để bắt bớ bất kỳ ai. Một chế độ “công an trị” theo mô hình Stasi ở Đông Berlin đã dần hình thành ở quê nhà. Trách cứ ai đây? Chúng là sản phẩm của thời đại chúng ta. Người dân Việt Nam vừa là nạn nhân vừa là đồng phạm với cái thể chế ấy.",Nguyệt Quỳnh,viettan.org
Hội luận trực tuyến “75 năm Quốc Tế Nhân Quyền: Góc nhìn khác về hiện tình Việt Nam”,"Hội luận trực tuyến chủ đề “75 năm Quốc Tế Nhân Quyền: Góc nhìn khác về hiện tình Việt Nam” lúc 9:30 tối thứ Sáu ngày 8/12/2023 với sự góp mặt của các diễn giả: Luật sư Nhân quyền Nguyễn Văn Đài, cựu Tù nhân Lương tâm Paulus Lê Sơn và cựu TNLT Nguyễn Viết Dũng do MC Thanh Lan điều hợp.",Youtube Việt Tân,viettan.org
Việt Tân kính tiễn biệt Đại lão Hòa Thượng Thích Tuệ Sỹ,"Việt Tân xin tiễn biệt Đại lão Hòa Thượng Thích Tuệ Sỹ và gửi lời chia buồn sâu sắc tới các thành viên Giáo Hội Phật Giáo Việt Nam Thống Nhất.Hòa Thượng Thích Tuệ Sỹ sẽ luôn được nhớ đến, không chỉ là một lãnh đạo tôn giáo nổi bật với các công trình nghiên cứu Phật học giá trị, mà còn ở tinh thần đấu tranh bảo vệ Phật Giáo tại Việt Nam",Ban Biên Tập Việt Tân,viettan.org
Ai là người ‘chống lưng’ cho bà Trương Mỹ Lan?,"Để một người phụ nữ có thể “một tay che trời” suốt thời gian dài qua, chắc chắn chống lưng cho bà Trương Mỹ Lan cũng phải là một thế lực cực khủng. Vì vậy, xử lý bà Trương Mỹ Lan cũng chỉ là hành động dư thừa nếu không vạch trần bộ mặt những kẻ đứng sau, cùng chung lợi ích nhóm, đã vơ vét 10% GDP của đất nước.",Linh Linh,viettan.org
Bố già nào đằng sau Trương Mỹ Lan Vạn Thịnh Phát,"Với 90% cổ phần ở Ngân hàng SCB, bà Trương Mỹ Lan đã sử dụng hơn 1.000 công ty trong hệ sinh thái của mình để bỏ túi riêng 304 ngàn tỷ đồng (khoảng 12 tỷ USD), chiếm 6% GDP Việt Nam. Những con số thật rùng mình đó khiến dư luận tự hỏi: Bố già nào đã che ô dù cho vụ cướp trắng trợn này?",Linh Linh,viettan.org
"Còn hơn 3 tháng mới đến Tết, nhiều công nhân nhập cư đã rục rịch trả phòng trọ về quê vì thất nghiệp","Vợ chồng chị Nhàn quê ở Bình Phước đang bắt đầu dọn dẹp để đầu tháng 12 trả phòng trọ tại TP.HCM về quê ăn Tết sớm. “Lần này về là về hẳn, không lên lại thành phố nữa vì dạo này khó tìm việc quá,” chị Nhàn nói. Còn gia đình chị Nhi quê ở Nghệ An cũng dự định về quê ăn Tết sớm vì cuối năm công ty không có đơn hàng. Nếu ở quê kiếm được việc thì vợ chồng chị ở lại luôn.",Gia Minh,viettan.org
"Kinh tế TP.HCM lao dốc, kinh doanh ế ẩm, chợ vắng tanh khách mua","Phóng viên dạo một vòng chợ Phú Định, Quận 6, Sài Gòn, một chợ thường ngày đông đảo, nhộn nhịp kẻ mua người bán đủ các loại thực phẩm thiết yếu hằng ngày. Thế mà nay, giữa tháng 11, hình ảnh cho thấy từ đầu chợ đến cuối chợ vắng tanh khách. Người bán thì nhiều chỉ thấy lưa thưa, lẻ tẻ người mua! Một Sài Gòn ảm đạm trong làn sóng suy thoái kinh tế!",Youtube Việt Tân,viettan.org
Vì sao ông Lưu Bình Nhưỡng bị bắt?,"Sáng 15/11, đồng loạt nhiều tờ báo đưa tin ông Lưu Bình Nhưỡng – Phó trưởng Ban Dân nguyện của Ủy ban Thường vụ Quốc hội, đã bị công an tỉnh Thái Bình khởi tố, bắt tạm giam vì cáo buộc liên quan đến một vụ án ở tỉnh này. Nhiều người dân và mạng xã hội đã hết sức bất ngờ trước thông tin này. Ông Nhưỡng là một trong các chính khách hiếm hoi ở Việt Nam sử dụng mạng xã hội và thường xuyên lên tiếng các vấn đề xã hội như tử tù, dân oan, môi trường, các sự kiện nóng thu hút nhiều dư luận xã hội… Việc bắt giữ ông Nhưỡng không thể không có sự quyết định từ Bộ Công an hay có thể là từ Bộ Chính trị. Những năm trở lại đây, nhiều vụ bắt giữ các nhân vật lớn, Bộ Công an thường giật dây công an các tỉnh đứng ra bắt giữ để tránh sự chú ý của dư luận trong nước và các Tổ chức quốc tế.",Youtube Việt Tân,viettan.org
Đất nước kém phát triển không hẳn do chiến tranh,"Chiến tranh thường được coi là nguyên nhân chính dẫn đến sự kém phát triển của một quốc gia. Tuy nhiên, Hàn Quốc đã chứng minh rằng, không phải lúc nào chiến tranh cũng là lý do chính đáng.",Linh Linh,viettan.org
Có dấu hiệu mờ ám trong vụ bắt giam Đại biểu Quốc hội Lưu Bình Nhưỡng,"Sáng 15/11, đồng loạt nhiều tờ báo đưa tin ông Lưu Bình Nhưỡng – Phó trưởng Ban Dân nguyện của Ủy ban Thường vụ Quốc hội, đã bị công an tỉnh Thái Bình khởi tố, bắt tạm giam vì cáo buộc liên quan đến một vụ án ở tỉnh này. Ông Nhưỡng là một trong các chính khách hiếm hoi ở Việt Nam sử dụng mạng xã hội và thường xuyên lên tiếng các vấn đề xã hội như tử tù, dân oan, môi trường, các sự kiện nóng thu hút nhiều dư luận xã hội…",Gia Minh,viettan.org
Kinh tế Việt Nam 2024 sẽ đối diện với sụp đổ và khủng hoảng,"hững tin bài như đầu tư nước ngoài FDI tăng cao, các nguyên thủ và CEO các tập đoàn lớn đến Việt Nam xúc tiến các dự án tỷ USD, thị trường bất động sản (BĐS) có dấu hiệu khởi sắc những tháng cuối năm và xuất siêu lớn nhất trong 5 năm qua, v.v. Thế nhưng, những con số thống kê lại rất mâu thuẫn và bộ mặt các đầu tàu kinh tế, đô thị phía Nam thì lộ rõ vẻ tiều tụy, thê thảm với đời sống dân sinh ngày một cùng cực khó khăn.",Tùng Phong,viettan.org
Tính chuyên chế của đám đông và xu hướng bài Hoa,"Những tranh cãi gay gắt bắt đầu từ tấm pano quảng cáo có hình ảnh Trấn Thành trong vai bác Ba Phi với cái mũi sửa kiểu Hàn Quốc, cái khăn rằn cho đến các “nội dung lịch sử” của một bộ phim “Đất rừng phương Nam” dường như không có điểm dừng suốt 10 ngày qua. Không còn là chuyện yêu ghét, đánh giá về một bộ phim mà giờ đây có khuynh hướng biến thành một cuộc bài xích và phân biệt người Hoa trên mạng xã hội.",Tùng Phong,viettan.org
Phải nghĩ gì về vụ Trường mầm non Hoa Lan?,"Thời sự trong tuần qua chợt nóng lên với vụ bà hiệu trưởng Trường mầm non Hoa Lan (huyện Tuy Đức, tỉnh Đắk Nông) đã nhiều lần điều giáo viên trong trường đi tiếp các đoàn khách trong tỉnh.",Phạm Minh Hoàng,viettan.org
Nhà cầm quyền Kontum tháo dỡ chùa Linh Sơn thuộc Giáo Hội Phật Giáo Việt Nam Thống Nhất,"Ngày 13/12/2022, công an và hàng chục quan chức địa phương từ thị trấn Plei Kần và huyện Ngọc Hồi, tỉnh Kontum cưỡng chế, tháo dỡ chùa Sơn Linh thuộc Giáo hội Phật giáo Việt Nam Thống nhất, và chỉ trong vài giờ sau đó ngôi chùa đã bị phá hủy hoàn toàn.",Diễm Quỳnh,viettan.org
Một cái Tết buồn,"Cái Tết Quĩ Mão tới đây, là một cái Tết buồn hiu hắt.Chỉ riêng các khu công nghiệp trọng điểm phía Nam như Bình Dương, Biên Hòa, Đồng Nai, TP.HCM… hàng trăm ngàn lao động bị nghỉ việc không lương kể từ đầu quí 4. Ngay cả những tập đoàn đa quốc gia lớn như Pouchen cũng phải cho 20.000 trong số 50.000 lao động nghỉ luân phiên vì thiếu đơn hàng.",Tân Phong,viettan.org
Vận động chính phủ Hòa Lan dùng “gậy” trong chính sách ngoại giao với CS Việt Nam,"Chính phủ Hòa Lan cần áp lực mạnh mẽ lên Hà Nội trước các vi phạm nhân quyền của nhà cầm quyền CSVN là đề nghị mà các vị đại diện phía Cộng Đồng Người Việt, Hội Anh Em Dân Chủ và đảng Việt Tân tại Hòa Lan đã chuyển đến đại diện của Bộ Ngoại Giao Hòa Lan trong buổi gặp gỡ hôm 14/12, nhân Ngày Quốc Tế Nhân Quyền 2022.",TTH tóm lược,viettan.org
Việt Nam là đất nước nông nghiệp nhưng phải chi tỷ đô để nhập khẩu nông sản,"Chỉ tính riêng trong 11 tháng năm 2022, Việt Nam đã chi trên 3 tỷ USD để nhập khẩu các loại mặt hàng thịt. Trong đó, thịt lợn tươi chiếm thị phần lớn nhất, tiếp đến các loại thịt khác và phụ phẩm gia cầm.Thật đáng buồn cho một đất nước thuần nông nhưng lại phải đi nhập khẩu hàng tỷ đô la thực phẩm.",Diễm Quỳnh tổng hợp,viettan.org
Tổng thư ký Liên Hiệp Quốc nêu quan ngại về vấn đề nhân quyền trong chuyến thăm Việt Nam,"Trong một họp báo hồi tuần trước tại Montreal, Canada, Tổng thư ký Liên Hiệp Quốc Antonio Guterres cho biết ông đã công khai nhắc vấn đề nhân quyền và quyền của những nhà hoạt động môi trường trong các chuyến thăm gần đây của ông tới Việt Nam.",Tổng hợp,viettan.org
Viết cho em: Thầy giáo Nguyễn Năng Tĩnh,"Tôi gặp Tĩnh lần đầu tiên vào khoảng tháng Năm, 2016 tại vườn rau Lộc Hưng. Hôm ấy Tĩnh và các anh chị em bạn hữu đến thăm hỏi gia đình của một tù nhân lương tâm. Sau bữa cơm, hai anh em chúng tôi ra nằm kềnh dưới hàng bí leo. Đu đưa trên võng, tôi hỏi về đời sống và công việc của Tĩnh. Cảm nhận đầu tiên của tôi là Tĩnh có cách nói chuyện thật nhẹ nhàng, thỉnh thoảng trên khuôn mặt thanh tú của em nở một nụ cười kín đáo, có lẽ tiềm ẩn trong em những suy nghĩ sâu xa hơn.",Phạm Minh Hoàng,viettan.org
Giải Thưởng Nhân Quyền Lê Đình Lượng vinh danh Thầy giáo Nguyễn Năng Tĩnh: Tiếng hát từ ngục tù,"Tôi thật sự vui mừng khi thầy Nguyễn Năng Tĩnh là khôi nguyên giải thưởng mang tên người anh, người bạn của mình bởi cả hai đã có một quá trình kề vai sát cánh nỗ lực cho lý tưởng mình theo đuổi.Hẳn có người tới nay vẫn chưa biết là cả hai anh đều là những người không xa lạ gì với nhau và với những ai hoạt động ở các tỉnh Nghệ An – Hà Tĩnh. Sự đơn sơ và nhiệt huyết trên từng cây số có lẽ là điểm chung lớn nhất của hai anh.",Trần Minh Nhật,viettan.org
Phóng sự: Gia đình các tù nhân lương tâm vững tin vào con đường người thân đã chọn,"Quyền con người bị xâm phạm nghiêm trọng và có hệ thống tại Việt Nam, đơn cử như quyền tự do báo chí, bao gồm bắt và truy tố tùy tiện những người chỉ trích chính quyền, kiểm duyệt và hạn chế nghiêm trọng tự do Internet; ngăn cấm quyền tự do hội họp và tự do lập hội; hạn chế tự do đi lại, trong đó có việc cấm xuất cảnh đối với các nhà hoạt động; cấm đoán các hoạt động chính trị đối lập. Trong khi tình trạng tham nhũng lại diễn ra hết sức nghiêm trọng.",Youtube Việt Tân,viettan.org
Hãy tìm hiểu về Tuyên Ngôn Quốc Tế Nhân Quyền vì đó là quyền của bạn,"Nhân dịp 74 năm ngày Quốc Tế Nhân Quyền (10/12/1948 – 10/12/2022), xin chia sẻ đến quý độc giả video tóm lược về quyền con người. Tuyên Ngôn Quốc Tế Nhân Quyền với nhiều điều khoản thể hiện sự tiến bộ và nhân văn. Rất mong nhận được sự tiếp tay lan tỏa của độc giả đến mọi người!",Youtube Việt Tân,viettan.org
Ước vọng Nhân Quyền và cuộc chiến để làm Người,"Một ví dụ đại diện cho “thế hệ vàng” đã làm nên sự giàu có, cường thịnh của Trung Quốc hôm nay, đã từng nhiệt thành ủng hộ đảng Cộng Sản Trung Quốc và đã có cơ hội phát tài to lớn đó là Jack Ma… Giờ đây, khi ẩn thân ở Nhật Bản trốn tránh sự truy bức của Trung Quốc Cộng Sản đảng, người thông minh như Jack Ma, có lẽ đã thấu hiểu rằng Nhân Quyền là tất cả, không chỉ là bánh mì, không chỉ là phát tài. Rằng khi không còn Nhân Quyền thì tài sản có hàng chục tỷ Mỹ Kim, bạn cũng khó giữ được mạng sống, phẩm giá của chính mình.",Tân Phong,viettan.org
Nhân quyền cho những người yêu nước!,"Việt Nam vẫn chưa có sự tiến bộ đúng nghĩa nào về nhân quyền. Theo các tổ chức nhân quyền quốc tế, CSVN đang giam giữ hàng trăm tù nhân lương tâm. Họ là những nhà báo, Facebooker, chức sắc tôn giáo, những người chống Trung Quốc xâm lược, nhà hoạt động vì dân chủ và quyền đất đai. Họ không hề phạm tội, trên thực tế họ là những người yêu nước và trăn trở trước vận mệnh dân tộc, nhưng bị bỏ tù vì lên tiếng trước những bất công, sai trái của chế độ.",Ban Biên Tập Việt Tân,viettan.org
Phụ nữ Iran cương quyết đấu tranh đến cùng – cảnh sát ‘đạo đức’ mất dạng trên đường phố!,"Hôm nay nở rộ tin đồn, rằng Iran đã hủy bỏ cảnh sát ‘đạo đức’ và đang xét lại luật bắt phụ nữ đội khăn trùm đầu. Sự việc bắt nguồn từ câu tuyên bố của Tổng trưởng Tư Pháp Iran, Mohamed Jafar Montazeri với truyền thông ngày 4/12/2022 khi được hỏi về hiện tượng “không thấy cảnh sát đạo đức xuất hiện trên đường phố.” Ông Montazeri cho biết “vì cơ chế tạo ra nó đã bị giải thể,” theo hãng thông tấn nhà nước Iran ISNA.",Ban Biên Tập Việt Tân,viettan.org
Sức mạnh từ tờ giấy trắng bất bạo động,"Có thể nói biểu tượng tờ giấy trắng vừa tạo nên một dấu mốc trong lịch sử đấu tranh ở Trung Quốc. Nó phản ánh một tầm nhận thức mới và cao hơn trong lãnh vực đối đầu với chế độ cầm quyền. Không cần các biểu ngữ, băng rôn như trong các cuộc biểu tình truyền thống, chỉ là tờ giấy trắng đơn sơ vì đó là thứ ai cũng có sẵn, ai cũng có thể giơ lên. Kiến thức và kỹ năng về đấu tranh bất bạo động nhiều vô số kể và sức mạnh của nó cũng vô biên. Nhiều người vẫn chưa thực sự hiểu và đánh giá đúng về phương pháp đấu tranh này.",Vũ Việt ,viettan.org
Nỗ lực đấu tranh chống chính sách “zero Covid” của dân Trung Quốc đã mang lại kết quả,"Chưa đầy 24 giờ sau những cuộc đụng độ giữa người biểu tình với cảnh sát chống bạo động, tại tỉnh Quảng Châu, lệnh phong tỏa đã được dỡ bỏ tại ít 7 quận. Một số nơi ít bị xét nghiệm hơn. Đồng thời, người ta được tiếp xúc gần cận với người nhiễm bệnh cách ly tại nhà, theo truyền thông nhà nước.",Reuters - Lê Vĩnh lược dịch,viettan.org
"Doanh nghiệp BOT thua lỗ, sao người dân phải gánh thay","Ngày 24/11, báo Công An Nhân Dân đưa tin “Lại thêm doanh nghiệp muốn bán lại các dự án BOT về Bộ Giao thông Vận tải.” Trước đây, bộ nầy cũng đã đề xuất mua lại 8 dự án BOT thua lỗ với số tiền lên đến 13.115 tỷ đồng (hơn 500 triệu USD). Mang tiếng là bán lại cho Bộ GTVT, nhưng thực chất vẫn là lấy tiền thuế của dân ra mà mua lại các dự án BOT thua lỗ mà thôi.",Hồng Hà,viettan.org
Biểu tình giấy trắng – nói lên tất cả những điều không được nói,"Tờ giấy trắng khổ A4 đã trở thành một thông điệp chung – nói lên rất nhiều mà không cần nói gì cả. Đây là một biểu tượng chống đối mạnh mẽ chế độ độc tài, chống chế độ kiểm duyệt, khống chế mọi quyền căn bản của người dân, chống “Zero Covid,” đòi dân chủ,…",Ban Biên Tập Việt Tân,viettan.org
Việt Nam có nguy cơ giống Venezuela,"Tình hình Việt Nam hiện nay khá giống Venezuela giai đoạn những năm 2015-2016, kiểm soát lạm phát tốt (chỉ số lạm phát là 4-5%). Bất ngờ giá dầu giảm sâu, do các tác động bên ngoài, nhà nước Venezuela in thêm nhiều tiền, dùng đồng nội tệ để ổn định nền kinh tế, và hậu quả là kinh tế rơi vào khủng hoảng, tiền Venezuela mất giá rất nhanh, còn đời sống dân chúng như thế nào thì ai cũng biết.",Hồng Hà,viettan.org
